years,Continent,MeanD,SdD1,UndC,UNDIST,n,SED,Ratio1_t1,YY,Class_F,Continent_F
5,Africa,10.24059845,2.17577546,3857,15.07100567,63,14.43682995,32.05099468,Regrowth,Regrowth,Africa
5,Americas,8.646156214,2.564058168,24388,13.49918404,169,18.99417151,35.95052715,Regrowth,Regrowth,Americas
5,Asia,11.11113619,3.216694462,13795,16.33662076,102,19.69008468,31.98632477,Regrowth,Regrowth,Asia
6,Africa,9.532809028,2.775091991,2864,14.78026962,57,18.77565202,35.50314526,Regrowth,Regrowth,Africa
6,Americas,8.17079548,2.838296965,27446,13.43359275,163,21.12835351,39.17639434,Regrowth,Regrowth,Americas
6,Asia,10.88229548,3.211797612,7626,16.5968712,90,19.35182585,34.43164468,Regrowth,Regrowth,Asia
7,Africa,8.608718034,3.329561552,1716,14.89887593,52,22.34773662,42.21900983,Regrowth,Regrowth,Africa
7,Americas,7.92876605,2.685219743,22428,13.46269456,159,19.9456337,41.105653,Regrowth,Regrowth,Americas
7,Asia,10.81972441,3.238207008,7029,16.75806279,81,19.32327768,35.43570911,Regrowth,Regrowth,Asia
8,Africa,8.973539833,2.662062624,1370,14.79314757,37,17.99524146,39.33988835,Regrowth,Regrowth,Africa
8,Americas,7.919651561,2.65579032,26404,13.54360393,162,19.60918477,41.52478469,Regrowth,Regrowth,Americas
8,Asia,10.04772882,3.601921608,6397,16.8470447,88,21.38013921,40.35910157,Regrowth,Regrowth,Asia
9,Africa,8.788467636,2.847491967,1503,15.34222149,41,18.55984134,42.71711145,Regrowth,Regrowth,Africa
9,Americas,7.399446512,2.659747331,23529,13.47429712,167,19.73941429,45.08473099,Regrowth,Regrowth,Americas
9,Asia,10.05582557,3.403259114,4783,16.70560918,90,20.37195458,39.80569367,Regrowth,Regrowth,Asia
